province,Latitude,Longitude
Bac Lieu,9.3298341,105.509946
Ho Chi Minh City,10.7763897,106.7011391
Tam Ky,15.5673735,108.4842128
Ben Tre,10.1093637,106.4811559
Hoa Binh,20.6763365,105.3759952
Tan An,10.5364717,106.4099039
Bien Hoa,10.9507929,106.8263284
Hong Gai,20.9506793,107.0747169
Thai Nguyen,21.592477,105.8435398
Buon Me Thuot,12.6796827,108.0447368
Hue,16.4639321,107.5863388
Thanh Hoa,19.8076814,105.7767437
Ca Mau,9.0180177,105.0869724
Long Xuyen,10.3905437,105.4337523
Tra Vinh,9.8037998,106.3256808
Cam Pha,21.004432,107.278029
My Tho,10.3606197,106.3658439
Tuy Hoa,13.0877226,109.2993584
Cam Ranh,11.9166696,109.14861
Nam Dinh,20.2686476,106.2289075
Uong Bi,21.0414692,106.7740261
Can Tho,10.0364634,105.7875821
Nha Trang,12.2431693,109.1898675
Viet Tri,21.324231,105.3881392
Chau Doc,10.7101815,105.1188675
Phan Rang,11.5769829,108.9865391
Vinh,18.6698528,105.6840371
Da Lat,11.9491214,108.4321417
Phan Thiet,10.9418092,108.0823313
Vinh Long,10.1203043,106.0125705
Ha Noi,21.0283334,105.854041
Play Cu,13.9715982,108.0143597
Vung Tau,10.3486485,107.0765028
Hai Duong,20.8930571,106.3725441
Qui Nhon,13.7696017,109.2314599
Yen Bai,21.8268679,104.663122
Hai Phong,20.858864,106.6749591
Rach Gia,10.0107104,105.0832623
Hanoi,21.0283334,105.854041
Soc Trang,9.5628369,105.9493991
